"Group","Variable","n","Mean","Median","SD","Min","Q1","Q3","Max","Skewness","IQR_outliers"
"Purchase","Administrative",1908,3.39360587002096,2,3.73052727719856,0,0,5,26,1.45499778648974,58
"Purchase","Administrative_Duration",1908,119.483243894312,52.366666665,201.114731656744,0,0,151.083333325,2086.75,3.98524237377159,143
"Purchase","Informational",1908,0.786163522012579,0,1.52117628928536,0,0,1,12,2.69858589836136,223
"Purchase","Informational_Duration",1908,57.6114266509366,0,171.619131227654,0,0,19,1767.666667,4.98256801860328,367
"Purchase","ProductRelated",1908,48.2101677148847,29,58.2673652533207,0,15,57,534,3.25943057094749,166
"Purchase","ProductRelated_Duration",1908,1876.2096148889,1109.90625,2312.21439167297,0,541.906250025,2266.01130975,27009.85943,3.33761078881397,166
"Purchase","BounceRates",1908,0.00511715264046122,0,0.0121845119373148,0,0,0.006451613,0.2,8.27717293350268,156
"Purchase","ExitRates",1908,0.0195551682568134,0.016,0.0164633160496912,0,0.0095214825,0.025,0.2,3.47768357845263,95
"Purchase","PageValues",1908,27.264518194696,16.758133555,35.1919542059445,0,3.64114439175,38.897742445,361.7637419,3.25165279602094,89
"Purchase","SpecialDay",1908,0.0231656184486373,0,0.123521310892744,0,0,0,1,5.79190194432415,77
"No purchase","Administrative",10422,2.11773172135866,0,3.20248055392866,0,0,3,27,2.09513898606193,793
"No purchase","Administrative_Duration",10422,73.7401111686495,0,171.017970175389,0,0,83,3398.75,6.10388518118121,1042
"No purchase","Informational",10422,0.451832661677221,0,1.21158246103789,0,0,0,24,4.44977566919195,2018
"No purchase","Informational_Duration",10422,30.2362372288273,0,133.909306392396,0,0,0,2549.375,8.43306113143894,1840
"No purchase","ProductRelated",10422,28.7146421032431,16,40.7447171824285,0,6,35,705,4.69409392632091,813
"No purchase","ProductRelated_Duration",10422,1069.98780915444,510.19,1803.79775675192,0,151,1331.81666675,63973.52223,8.83296253135736,787
"No purchase","BounceRates",10422,0.0253172321978507,0.004255319,0.0518774636256582,0,0,0.02,0.2,2.66369441428687,1299
"No purchase","ExitRates",10422,0.0473782705264824,0.028571429,0.0512309996946851,0,0.0155600445,0.053846154,0.2,1.93979495987332,1048
"No purchase","PageValues",10422,1.97599776737018,0,9.07242373387567,0,0,0,246.7585902,9.55879483610453,1192
"No purchase","SpecialDay",10422,0.0684321627326809,0,0.209053822666384,0,0,0,1,3.08338010112072,1174
